scenario,switch_buffer,position,start,end,trading_days,calendar_days
switch_buffer_1.05,1.05,159941.SZ,2020-04-23,2020-04-28,4,6
switch_buffer_1.05,1.05,513520.SH,2020-04-29,2020-05-06,3,8
switch_buffer_1.05,1.05,159915.SZ,2020-05-07,2020-05-12,4,6
switch_buffer_1.05,1.05,159941.SZ,2020-05-13,2020-05-18,4,6
switch_buffer_1.05,1.05,159915.SZ,2020-05-19,2020-05-21,3,3
switch_buffer_1.05,1.05,518880.SH,2020-05-22,2020-05-22,1,1
switch_buffer_1.05,1.05,513520.SH,2020-05-25,2020-05-26,2,2
switch_buffer_1.05,1.05,513030.SH,2020-05-27,2020-06-02,5,7
switch_buffer_1.05,1.05,513520.SH,2020-06-03,2020-06-16,10,14
switch_buffer_1.05,1.05,513030.SH,2020-06-17,2020-06-18,2,2
switch_buffer_1.05,1.05,159915.SZ,2020-06-19,2020-06-29,5,11
switch_buffer_1.05,1.05,159941.SZ,2020-06-30,2020-07-17,14,18
switch_buffer_1.05,1.05,513030.SH,2020-07-20,2020-07-23,4,4
switch_buffer_1.05,1.05,159915.SZ,2020-07-24,2020-07-27,2,4
switch_buffer_1.05,1.05,513030.SH,2020-07-28,2020-07-29,2,2
switch_buffer_1.05,1.05,518880.SH,2020-07-30,2020-08-13,11,15
switch_buffer_1.05,1.05,159941.SZ,2020-08-14,2020-08-28,11,15
switch_buffer_1.05,1.05,513030.SH,2020-08-31,2020-09-03,4,4
switch_buffer_1.05,1.05,159985.SZ,2020-09-04,2020-09-10,5,7
switch_buffer_1.05,1.05,159941.SZ,2020-09-11,2020-09-14,2,4
switch_buffer_1.05,1.05,159985.SZ,2020-09-15,2020-10-14,16,30
switch_buffer_1.05,1.05,159915.SZ,2020-10-15,2020-10-22,6,8
switch_buffer_1.05,1.05,159985.SZ,2020-10-23,2020-10-30,6,8
switch_buffer_1.05,1.05,CASH,2020-11-02,2020-11-06,5,5
switch_buffer_1.05,1.05,513520.SH,2020-11-09,2020-12-15,27,37
switch_buffer_1.05,1.05,159915.SZ,2020-12-16,2020-12-29,10,14
switch_buffer_1.05,1.05,159985.SZ,2020-12-30,2021-01-08,7,10
switch_buffer_1.05,1.05,513030.SH,2021-01-11,2021-01-12,2,2
switch_buffer_1.05,1.05,513520.SH,2021-01-13,2021-01-14,2,2
switch_buffer_1.05,1.05,159915.SZ,2021-01-15,2021-01-19,3,5
switch_buffer_1.05,1.05,159985.SZ,2021-01-20,2021-01-20,1,1
switch_buffer_1.05,1.05,159915.SZ,2021-01-21,2021-02-02,9,13
switch_buffer_1.05,1.05,159941.SZ,2021-02-03,2021-02-22,9,20
switch_buffer_1.05,1.05,513520.SH,2021-02-23,2021-03-02,6,8
switch_buffer_1.05,1.05,CASH,2021-03-03,2021-03-09,5,7
switch_buffer_1.05,1.05,513030.SH,2021-03-10,2021-04-06,19,28
switch_buffer_1.05,1.05,159941.SZ,2021-04-07,2021-04-22,12,16
switch_buffer_1.05,1.05,159915.SZ,2021-04-23,2021-05-11,10,19
switch_buffer_1.05,1.05,159985.SZ,2021-05-12,2021-05-14,3,3
switch_buffer_1.05,1.05,159915.SZ,2021-05-17,2021-06-15,21,30
switch_buffer_1.05,1.05,159941.SZ,2021-06-16,2021-07-14,21,29
switch_buffer_1.05,1.05,159915.SZ,2021-07-15,2021-07-16,2,2
switch_buffer_1.05,1.05,159985.SZ,2021-07-19,2021-07-22,4,4
switch_buffer_1.05,1.05,159915.SZ,2021-07-23,2021-07-23,1,1
switch_buffer_1.05,1.05,159941.SZ,2021-07-26,2021-08-13,15,19
switch_buffer_1.05,1.05,513030.SH,2021-08-16,2021-08-24,7,9
switch_buffer_1.05,1.05,159941.SZ,2021-08-25,2021-09-06,9,13
switch_buffer_1.05,1.05,513520.SH,2021-09-07,2021-09-29,15,23
switch_buffer_1.05,1.05,CASH,2021-09-30,2021-10-18,8,19
switch_buffer_1.05,1.05,159915.SZ,2021-10-19,2021-11-01,10,14
switch_buffer_1.05,1.05,159941.SZ,2021-11-02,2021-11-23,16,22
switch_buffer_1.05,1.05,159915.SZ,2021-11-24,2021-12-03,8,10
switch_buffer_1.05,1.05,159985.SZ,2021-12-06,2022-01-07,24,33
switch_buffer_1.05,1.05,513030.SH,2022-01-10,2022-01-18,7,9
switch_buffer_1.05,1.05,CASH,2022-01-19,2022-01-19,1,1
switch_buffer_1.05,1.05,518880.SH,2022-01-20,2022-01-26,5,7
switch_buffer_1.05,1.05,CASH,2022-01-27,2022-01-27,1,1
switch_buffer_1.05,1.05,159985.SZ,2022-01-28,2022-02-09,4,13
switch_buffer_1.05,1.05,CASH,2022-02-10,2022-02-14,3,5
switch_buffer_1.05,1.05,518880.SH,2022-02-15,2022-03-01,11,15
switch_buffer_1.05,1.05,159985.SZ,2022-03-02,2022-03-28,19,27
switch_buffer_1.05,1.05,159941.SZ,2022-03-29,2022-03-31,3,3
switch_buffer_1.05,1.05,513030.SH,2022-04-01,2022-04-01,1,1
switch_buffer_1.05,1.05,159941.SZ,2022-04-06,2022-04-12,5,7
switch_buffer_1.05,1.05,CASH,2022-04-13,2022-04-14,2,2
switch_buffer_1.05,1.05,518880.SH,2022-04-15,2022-04-27,9,13
switch_buffer_1.05,1.05,CASH,2022-04-28,2022-04-28,1,1
switch_buffer_1.05,1.05,518880.SH,2022-04-29,2022-04-29,1,1
switch_buffer_1.05,1.05,159985.SZ,2022-05-05,2022-05-06,2,2
switch_buffer_1.05,1.05,CASH,2022-05-09,2022-05-19,9,11
switch_buffer_1.05,1.05,159985.SZ,2022-05-20,2022-05-20,1,1
switch_buffer_1.05,1.05,159915.SZ,2022-05-23,2022-05-26,4,4
switch_buffer_1.05,1.05,159985.SZ,2022-05-27,2022-05-31,3,5
switch_buffer_1.05,1.05,513030.SH,2022-06-01,2022-06-06,3,6
switch_buffer_1.05,1.05,159915.SZ,2022-06-07,2022-06-22,12,16
switch_buffer_1.05,1.05,CASH,2022-06-23,2022-07-01,7,9
switch_buffer_1.05,1.05,159915.SZ,2022-07-04,2022-07-14,9,11
switch_buffer_1.05,1.05,159941.SZ,2022-07-15,2022-08-23,28,40
switch_buffer_1.05,1.05,159985.SZ,2022-08-24,2022-10-18,34,56
switch_buffer_1.05,1.05,518880.SH,2022-10-19,2022-10-24,4,6
switch_buffer_1.05,1.05,513030.SH,2022-10-25,2022-10-31,5,7
switch_buffer_1.05,1.05,159941.SZ,2022-11-01,2022-11-01,1,1
switch_buffer_1.05,1.05,513520.SH,2022-11-02,2022-11-02,1,1
switch_buffer_1.05,1.05,513030.SH,2022-11-03,2022-11-14,8,12
switch_buffer_1.05,1.05,513520.SH,2022-11-15,2022-11-23,7,9
switch_buffer_1.05,1.05,513030.SH,2022-11-24,2022-12-07,10,14
switch_buffer_1.05,1.05,159985.SZ,2022-12-08,2023-01-09,22,33
switch_buffer_1.05,1.05,159915.SZ,2023-01-10,2023-02-06,15,28
switch_buffer_1.05,1.05,159941.SZ,2023-02-07,2023-02-23,13,17
switch_buffer_1.05,1.05,513030.SH,2023-02-24,2023-02-27,2,4
switch_buffer_1.05,1.05,CASH,2023-02-28,2023-03-06,5,7
switch_buffer_1.05,1.05,518880.SH,2023-03-07,2023-03-08,2,2
switch_buffer_1.05,1.05,513030.SH,2023-03-09,2023-03-09,1,1
switch_buffer_1.05,1.05,513520.SH,2023-03-10,2023-03-13,2,4
switch_buffer_1.05,1.05,518880.SH,2023-03-14,2023-03-29,12,16
switch_buffer_1.05,1.05,159941.SZ,2023-03-30,2023-04-11,8,13
switch_buffer_1.05,1.05,513030.SH,2023-04-12,2023-05-05,15,24
switch_buffer_1.05,1.05,513520.SH,2023-05-08,2023-05-18,9,11
switch_buffer_1.05,1.05,159941.SZ,2023-05-19,2023-05-24,4,6
switch_buffer_1.05,1.05,513520.SH,2023-05-25,2023-05-26,2,2
switch_buffer_1.05,1.05,159941.SZ,2023-05-29,2023-06-20,17,23
switch_buffer_1.05,1.05,159985.SZ,2023-06-21,2023-07-03,7,13
switch_buffer_1.05,1.05,159941.SZ,2023-07-04,2023-07-07,4,4
switch_buffer_1.05,1.05,159985.SZ,2023-07-10,2023-09-11,46,64
switch_buffer_1.05,1.05,159941.SZ,2023-09-12,2023-09-15,4,4
switch_buffer_1.05,1.05,513520.SH,2023-09-18,2023-09-19,2,2
switch_buffer_1.05,1.05,518880.SH,2023-09-20,2023-09-27,6,8
switch_buffer_1.05,1.05,CASH,2023-09-28,2023-10-26,15,29
switch_buffer_1.05,1.05,518880.SH,2023-10-27,2023-11-03,6,8
switch_buffer_1.05,1.05,159985.SZ,2023-11-06,2023-11-15,8,10
switch_buffer_1.05,1.05,159941.SZ,2023-11-16,2023-11-22,5,7
switch_buffer_1.05,1.05,513030.SH,2023-11-23,2023-12-19,19,27
switch_buffer_1.05,1.05,513520.SH,2023-12-20,2024-01-19,22,31
switch_buffer_1.05,1.05,159941.SZ,2024-01-22,2024-01-25,4,4
switch_buffer_1.05,1.05,513520.SH,2024-01-26,2024-01-30,3,5
switch_buffer_1.05,1.05,159941.SZ,2024-01-31,2024-02-23,12,24
switch_buffer_1.05,1.05,159915.SZ,2024-02-26,2024-03-18,16,22
switch_buffer_1.05,1.05,159985.SZ,2024-03-19,2024-03-28,8,10
switch_buffer_1.05,1.05,518880.SH,2024-03-29,2024-04-26,19,29
switch_buffer_1.05,1.05,159985.SZ,2024-04-29,2024-05-22,15,24
switch_buffer_1.05,1.05,159941.SZ,2024-05-23,2024-07-03,29,42
switch_buffer_1.05,1.05,513520.SH,2024-07-04,2024-07-09,4,6
switch_buffer_1.05,1.05,159941.SZ,2024-07-10,2024-07-15,4,6
switch_buffer_1.05,1.05,513520.SH,2024-07-16,2024-07-22,5,7
switch_buffer_1.05,1.05,518880.SH,2024-07-23,2024-07-25,3,3
switch_buffer_1.05,1.05,CASH,2024-07-26,2024-08-20,18,26
switch_buffer_1.05,1.05,518880.SH,2024-08-21,2024-08-22,2,2
switch_buffer_1.05,1.05,513520.SH,2024-08-23,2024-09-03,8,12
switch_buffer_1.05,1.05,513030.SH,2024-09-04,2024-09-06,3,3
switch_buffer_1.05,1.05,159985.SZ,2024-09-09,2024-09-24,10,16
switch_buffer_1.05,1.05,518880.SH,2024-09-25,2024-09-25,1,1
switch_buffer_1.05,1.05,159915.SZ,2024-09-26,2024-09-27,2,2
switch_buffer_1.05,1.05,518880.SH,2024-09-30,2024-10-14,6,15
switch_buffer_1.05,1.05,159941.SZ,2024-10-15,2024-10-16,2,2
switch_buffer_1.05,1.05,518880.SH,2024-10-17,2024-11-07,16,22
switch_buffer_1.05,1.05,159915.SZ,2024-11-08,2024-11-19,8,12
switch_buffer_1.05,1.05,159941.SZ,2024-11-20,2024-12-04,11,15
switch_buffer_1.05,1.05,513520.SH,2024-12-05,2024-12-06,2,2
switch_buffer_1.05,1.05,513030.SH,2024-12-09,2024-12-13,5,5
switch_buffer_1.05,1.05,159941.SZ,2024-12-16,2025-01-07,16,23
switch_buffer_1.05,1.05,513520.SH,2025-01-08,2025-01-13,4,6
switch_buffer_1.05,1.05,513030.SH,2025-01-14,2025-01-20,5,7
switch_buffer_1.05,1.05,159985.SZ,2025-01-21,2025-02-10,9,21
switch_buffer_1.05,1.05,513030.SH,2025-02-11,2025-02-12,2,2
switch_buffer_1.05,1.05,518880.SH,2025-02-13,2025-02-20,6,8
switch_buffer_1.05,1.05,159915.SZ,2025-02-21,2025-03-04,8,12
switch_buffer_1.05,1.05,159985.SZ,2025-03-05,2025-03-06,2,2
switch_buffer_1.05,1.05,CASH,2025-03-07,2025-03-07,1,1
switch_buffer_1.05,1.05,513030.SH,2025-03-10,2025-03-27,14,18
switch_buffer_1.05,1.05,518880.SH,2025-03-28,2025-04-21,16,25
switch_buffer_1.05,1.05,CASH,2025-04-22,2025-04-22,1,1
switch_buffer_1.05,1.05,518880.SH,2025-04-23,2025-04-29,5,7
switch_buffer_1.05,1.05,513030.SH,2025-04-30,2025-05-08,4,9
switch_buffer_1.05,1.05,513520.SH,2025-05-09,2025-05-09,1,1
switch_buffer_1.05,1.05,159941.SZ,2025-05-12,2025-05-14,3,3
switch_buffer_1.05,1.05,513030.SH,2025-05-15,2025-05-15,1,1
switch_buffer_1.05,1.05,159941.SZ,2025-05-16,2025-06-10,17,26
switch_buffer_1.05,1.05,159985.SZ,2025-06-11,2025-06-24,10,14
switch_buffer_1.05,1.05,159915.SZ,2025-06-25,2025-08-21,42,58
switch_buffer_1.05,1.05,513520.SH,2025-08-22,2025-08-29,6,8
switch_buffer_1.05,1.05,CASH,2025-09-01,2025-09-01,1,1
switch_buffer_1.05,1.05,518880.SH,2025-09-02,2025-09-19,14,18
switch_buffer_1.05,1.05,159915.SZ,2025-09-22,2025-10-10,9,19
switch_buffer_1.05,1.05,518880.SH,2025-10-13,2025-10-14,2,2
switch_buffer_1.05,1.05,513520.SH,2025-10-15,2025-10-22,6,8
switch_buffer_1.05,1.05,159941.SZ,2025-10-23,2025-10-24,2,2
switch_buffer_1.05,1.05,518880.SH,2025-10-27,2025-10-28,2,2
switch_buffer_1.05,1.05,159941.SZ,2025-10-29,2025-11-04,5,7
switch_buffer_1.05,1.05,513520.SH,2025-11-05,2025-11-13,7,9
switch_buffer_1.05,1.05,159941.SZ,2025-11-14,2025-11-17,2,4
switch_buffer_1.05,1.05,159985.SZ,2025-11-18,2025-11-28,9,11
switch_buffer_1.05,1.05,518880.SH,2025-12-01,2025-12-10,8,10
switch_buffer_1.05,1.05,159915.SZ,2025-12-11,2025-12-19,7,9
switch_buffer_1.05,1.05,518880.SH,2025-12-22,2026-01-05,9,15
switch_buffer_1.05,1.05,159915.SZ,2026-01-06,2026-01-19,10,14
switch_buffer_1.05,1.05,518880.SH,2026-01-20,2026-01-26,5,7
switch_buffer_1.05,1.05,513520.SH,2026-01-27,2026-02-03,6,8
switch_buffer_1.05,1.05,518880.SH,2026-02-04,2026-02-09,4,6
switch_buffer_1.05,1.05,513520.SH,2026-02-10,2026-02-24,5,15
switch_buffer_1.05,1.05,513030.SH,2026-02-25,2026-03-02,4,6
switch_buffer_1.05,1.05,513520.SH,2026-03-03,2026-03-05,3,3
switch_buffer_1.05,1.05,159985.SZ,2026-03-06,2026-03-12,5,7
switch_buffer_1.05,1.05,CASH,2026-03-13,2026-03-20,6,8
switch_buffer_1.05,1.05,159985.SZ,2026-03-23,2026-03-26,4,4
switch_buffer_1.05,1.05,CASH,2026-03-27,2026-04-13,11,18
switch_buffer_1.05,1.05,159941.SZ,2026-04-14,2026-04-14,1,1
switch_buffer_1.05,1.05,159915.SZ,2026-04-15,2026-04-20,4,6
switch_buffer_1.05,1.05,513520.SH,2026-04-21,2026-04-23,3,3
switch_buffer_1.05,1.05,159941.SZ,2026-04-24,2026-04-29,4,6
switch_buffer_1.05,1.05,159915.SZ,2026-04-30,2026-05-06,2,7
switch_buffer_1.05,1.05,159941.SZ,2026-05-07,2026-05-07,1,1
switch_buffer_1.05,1.05,159915.SZ,2026-05-08,2026-05-08,1,1
switch_buffer_1.06,1.06,159915.SZ,2020-01-02,2020-02-03,17,33
switch_buffer_1.06,1.06,159941.SZ,2020-02-04,2020-02-12,7,9
switch_buffer_1.06,1.06,159915.SZ,2020-02-13,2020-02-19,5,7
switch_buffer_1.06,1.06,518880.SH,2020-02-20,2020-02-20,1,1
switch_buffer_1.06,1.06,159941.SZ,2020-02-21,2020-02-25,3,5
switch_buffer_1.06,1.06,518880.SH,2020-02-26,2020-02-27,2,2
switch_buffer_1.06,1.06,159915.SZ,2020-02-28,2020-03-06,6,8
switch_buffer_1.06,1.06,518880.SH,2020-03-09,2020-03-12,4,4
switch_buffer_1.06,1.06,CASH,2020-03-13,2020-03-20,6,8
switch_buffer_1.06,1.06,159985.SZ,2020-03-23,2020-04-07,11,16
switch_buffer_1.06,1.06,CASH,2020-04-08,2020-04-08,1,1
switch_buffer_1.06,1.06,518880.SH,2020-04-09,2020-04-10,2,2
switch_buffer_1.06,1.06,513520.SH,2020-04-13,2020-04-13,1,1
switch_buffer_1.06,1.06,513030.SH,2020-04-14,2020-04-15,2,2
switch_buffer_1.06,1.06,513520.SH,2020-04-16,2020-04-20,3,5
switch_buffer_1.06,1.06,513030.SH,2020-04-21,2020-04-22,2,2
switch_buffer_1.06,1.06,159941.SZ,2020-04-23,2020-04-28,4,6
switch_buffer_1.06,1.06,513520.SH,2020-04-29,2020-05-07,4,9
switch_buffer_1.06,1.06,159915.SZ,2020-05-08,2020-05-12,3,5
switch_buffer_1.06,1.06,159941.SZ,2020-05-13,2020-05-18,4,6
switch_buffer_1.06,1.06,159915.SZ,2020-05-19,2020-05-21,3,3
switch_buffer_1.06,1.06,518880.SH,2020-05-22,2020-05-22,1,1
switch_buffer_1.06,1.06,513520.SH,2020-05-25,2020-05-26,2,2
switch_buffer_1.06,1.06,513030.SH,2020-05-27,2020-06-02,5,7
switch_buffer_1.06,1.06,513520.SH,2020-06-03,2020-06-16,10,14
switch_buffer_1.06,1.06,513030.SH,2020-06-17,2020-06-18,2,2
switch_buffer_1.06,1.06,159915.SZ,2020-06-19,2020-06-29,5,11
switch_buffer_1.06,1.06,159941.SZ,2020-06-30,2020-07-17,14,18
switch_buffer_1.06,1.06,513030.SH,2020-07-20,2020-07-23,4,4
switch_buffer_1.06,1.06,159915.SZ,2020-07-24,2020-07-27,2,4
switch_buffer_1.06,1.06,513030.SH,2020-07-28,2020-07-29,2,2
switch_buffer_1.06,1.06,518880.SH,2020-07-30,2020-08-13,11,15
switch_buffer_1.06,1.06,159941.SZ,2020-08-14,2020-08-28,11,15
switch_buffer_1.06,1.06,513030.SH,2020-08-31,2020-09-03,4,4
switch_buffer_1.06,1.06,159985.SZ,2020-09-04,2020-09-10,5,7
switch_buffer_1.06,1.06,159941.SZ,2020-09-11,2020-09-14,2,4
switch_buffer_1.06,1.06,159985.SZ,2020-09-15,2020-10-14,16,30
switch_buffer_1.06,1.06,159915.SZ,2020-10-15,2020-10-22,6,8
switch_buffer_1.06,1.06,159985.SZ,2020-10-23,2020-10-30,6,8
switch_buffer_1.06,1.06,CASH,2020-11-02,2020-11-06,5,5
switch_buffer_1.06,1.06,513520.SH,2020-11-09,2020-12-15,27,37
switch_buffer_1.06,1.06,159915.SZ,2020-12-16,2020-12-29,10,14
switch_buffer_1.06,1.06,159985.SZ,2020-12-30,2021-01-08,7,10
switch_buffer_1.06,1.06,513030.SH,2021-01-11,2021-01-12,2,2
switch_buffer_1.06,1.06,513520.SH,2021-01-13,2021-01-14,2,2
switch_buffer_1.06,1.06,159915.SZ,2021-01-15,2021-01-19,3,5
switch_buffer_1.06,1.06,159985.SZ,2021-01-20,2021-01-20,1,1
switch_buffer_1.06,1.06,159915.SZ,2021-01-21,2021-02-02,9,13
switch_buffer_1.06,1.06,159941.SZ,2021-02-03,2021-02-22,9,20
switch_buffer_1.06,1.06,513520.SH,2021-02-23,2021-03-02,6,8
switch_buffer_1.06,1.06,CASH,2021-03-03,2021-03-09,5,7
switch_buffer_1.06,1.06,513030.SH,2021-03-10,2021-04-06,19,28
switch_buffer_1.06,1.06,159941.SZ,2021-04-07,2021-04-22,12,16
switch_buffer_1.06,1.06,159915.SZ,2021-04-23,2021-05-11,10,19
switch_buffer_1.06,1.06,159985.SZ,2021-05-12,2021-05-14,3,3
switch_buffer_1.06,1.06,159915.SZ,2021-05-17,2021-06-15,21,30
switch_buffer_1.06,1.06,159941.SZ,2021-06-16,2021-07-14,21,29
switch_buffer_1.06,1.06,159915.SZ,2021-07-15,2021-07-16,2,2
switch_buffer_1.06,1.06,159985.SZ,2021-07-19,2021-07-22,4,4
switch_buffer_1.06,1.06,159915.SZ,2021-07-23,2021-07-23,1,1
switch_buffer_1.06,1.06,159941.SZ,2021-07-26,2021-08-13,15,19
switch_buffer_1.06,1.06,513030.SH,2021-08-16,2021-08-24,7,9
switch_buffer_1.06,1.06,159941.SZ,2021-08-25,2021-09-06,9,13
switch_buffer_1.06,1.06,513520.SH,2021-09-07,2021-09-29,15,23
switch_buffer_1.06,1.06,CASH,2021-09-30,2021-10-18,8,19
switch_buffer_1.06,1.06,159915.SZ,2021-10-19,2021-11-01,10,14
switch_buffer_1.06,1.06,159941.SZ,2021-11-02,2021-11-24,17,23
switch_buffer_1.06,1.06,159915.SZ,2021-11-25,2021-12-03,7,9
switch_buffer_1.06,1.06,159985.SZ,2021-12-06,2022-01-07,24,33
switch_buffer_1.06,1.06,513030.SH,2022-01-10,2022-01-18,7,9
switch_buffer_1.06,1.06,CASH,2022-01-19,2022-01-19,1,1
switch_buffer_1.06,1.06,518880.SH,2022-01-20,2022-01-26,5,7
switch_buffer_1.06,1.06,CASH,2022-01-27,2022-01-27,1,1
switch_buffer_1.06,1.06,159985.SZ,2022-01-28,2022-02-09,4,13
switch_buffer_1.06,1.06,CASH,2022-02-10,2022-02-14,3,5
switch_buffer_1.06,1.06,518880.SH,2022-02-15,2022-03-01,11,15
switch_buffer_1.06,1.06,159985.SZ,2022-03-02,2022-03-28,19,27
switch_buffer_1.06,1.06,159941.SZ,2022-03-29,2022-03-31,3,3
switch_buffer_1.06,1.06,513030.SH,2022-04-01,2022-04-01,1,1
switch_buffer_1.06,1.06,159941.SZ,2022-04-06,2022-04-12,5,7
switch_buffer_1.06,1.06,CASH,2022-04-13,2022-04-14,2,2
switch_buffer_1.06,1.06,518880.SH,2022-04-15,2022-04-27,9,13
switch_buffer_1.06,1.06,CASH,2022-04-28,2022-04-28,1,1
switch_buffer_1.06,1.06,518880.SH,2022-04-29,2022-04-29,1,1
switch_buffer_1.06,1.06,159985.SZ,2022-05-05,2022-05-06,2,2
switch_buffer_1.06,1.06,CASH,2022-05-09,2022-05-19,9,11
switch_buffer_1.06,1.06,159985.SZ,2022-05-20,2022-05-20,1,1
switch_buffer_1.06,1.06,159915.SZ,2022-05-23,2022-05-26,4,4
switch_buffer_1.06,1.06,159985.SZ,2022-05-27,2022-05-31,3,5
switch_buffer_1.06,1.06,513030.SH,2022-06-01,2022-06-06,3,6
switch_buffer_1.06,1.06,159915.SZ,2022-06-07,2022-06-22,12,16
switch_buffer_1.06,1.06,CASH,2022-06-23,2022-07-01,7,9
switch_buffer_1.06,1.06,159915.SZ,2022-07-04,2022-07-14,9,11
switch_buffer_1.06,1.06,159941.SZ,2022-07-15,2022-08-23,28,40
switch_buffer_1.06,1.06,159985.SZ,2022-08-24,2022-10-18,34,56
switch_buffer_1.06,1.06,518880.SH,2022-10-19,2022-10-24,4,6
switch_buffer_1.06,1.06,513030.SH,2022-10-25,2022-10-31,5,7
switch_buffer_1.06,1.06,159941.SZ,2022-11-01,2022-11-01,1,1
switch_buffer_1.06,1.06,513520.SH,2022-11-02,2022-11-02,1,1
switch_buffer_1.06,1.06,513030.SH,2022-11-03,2022-11-14,8,12
switch_buffer_1.06,1.06,513520.SH,2022-11-15,2022-11-23,7,9
switch_buffer_1.06,1.06,513030.SH,2022-11-24,2022-12-07,10,14
switch_buffer_1.06,1.06,159985.SZ,2022-12-08,2023-01-09,22,33
switch_buffer_1.06,1.06,159915.SZ,2023-01-10,2023-02-06,15,28
switch_buffer_1.06,1.06,159941.SZ,2023-02-07,2023-02-23,13,17
switch_buffer_1.06,1.06,513030.SH,2023-02-24,2023-02-27,2,4
switch_buffer_1.06,1.06,CASH,2023-02-28,2023-03-06,5,7
switch_buffer_1.06,1.06,518880.SH,2023-03-07,2023-03-08,2,2
switch_buffer_1.06,1.06,513030.SH,2023-03-09,2023-03-09,1,1
switch_buffer_1.06,1.06,513520.SH,2023-03-10,2023-03-13,2,4
switch_buffer_1.06,1.06,518880.SH,2023-03-14,2023-03-29,12,16
switch_buffer_1.06,1.06,159941.SZ,2023-03-30,2023-04-11,8,13
switch_buffer_1.06,1.06,513030.SH,2023-04-12,2023-05-05,15,24
switch_buffer_1.06,1.06,513520.SH,2023-05-08,2023-05-18,9,11
switch_buffer_1.06,1.06,159941.SZ,2023-05-19,2023-05-24,4,6
switch_buffer_1.06,1.06,513520.SH,2023-05-25,2023-05-26,2,2
switch_buffer_1.06,1.06,159941.SZ,2023-05-29,2023-06-20,17,23
switch_buffer_1.06,1.06,159985.SZ,2023-06-21,2023-07-03,7,13
switch_buffer_1.06,1.06,159941.SZ,2023-07-04,2023-07-07,4,4
switch_buffer_1.06,1.06,159985.SZ,2023-07-10,2023-09-11,46,64
switch_buffer_1.06,1.06,159941.SZ,2023-09-12,2023-09-15,4,4
switch_buffer_1.06,1.06,513520.SH,2023-09-18,2023-09-19,2,2
switch_buffer_1.06,1.06,518880.SH,2023-09-20,2023-09-27,6,8
switch_buffer_1.06,1.06,CASH,2023-09-28,2023-10-26,15,29
switch_buffer_1.06,1.06,518880.SH,2023-10-27,2023-11-03,6,8
switch_buffer_1.06,1.06,159985.SZ,2023-11-06,2023-11-15,8,10
switch_buffer_1.06,1.06,159941.SZ,2023-11-16,2023-11-22,5,7
switch_buffer_1.06,1.06,513030.SH,2023-11-23,2023-12-19,19,27
switch_buffer_1.06,1.06,513520.SH,2023-12-20,2024-01-19,22,31
switch_buffer_1.06,1.06,159941.SZ,2024-01-22,2024-01-25,4,4
switch_buffer_1.06,1.06,513520.SH,2024-01-26,2024-01-30,3,5
switch_buffer_1.06,1.06,159941.SZ,2024-01-31,2024-02-23,12,24
switch_buffer_1.06,1.06,159915.SZ,2024-02-26,2024-03-18,16,22
switch_buffer_1.06,1.06,159985.SZ,2024-03-19,2024-03-28,8,10
switch_buffer_1.06,1.06,518880.SH,2024-03-29,2024-04-26,19,29
switch_buffer_1.06,1.06,159985.SZ,2024-04-29,2024-05-22,15,24
switch_buffer_1.06,1.06,159941.SZ,2024-05-23,2024-07-03,29,42
switch_buffer_1.06,1.06,513520.SH,2024-07-04,2024-07-09,4,6
switch_buffer_1.06,1.06,159941.SZ,2024-07-10,2024-07-15,4,6
switch_buffer_1.06,1.06,513520.SH,2024-07-16,2024-07-22,5,7
switch_buffer_1.06,1.06,518880.SH,2024-07-23,2024-07-25,3,3
switch_buffer_1.06,1.06,CASH,2024-07-26,2024-08-20,18,26
switch_buffer_1.06,1.06,518880.SH,2024-08-21,2024-08-22,2,2
switch_buffer_1.06,1.06,513520.SH,2024-08-23,2024-09-03,8,12
switch_buffer_1.06,1.06,513030.SH,2024-09-04,2024-09-06,3,3
switch_buffer_1.06,1.06,159985.SZ,2024-09-09,2024-09-24,10,16
switch_buffer_1.06,1.06,518880.SH,2024-09-25,2024-09-25,1,1
switch_buffer_1.06,1.06,159915.SZ,2024-09-26,2024-09-27,2,2
switch_buffer_1.06,1.06,518880.SH,2024-09-30,2024-10-14,6,15
switch_buffer_1.06,1.06,159941.SZ,2024-10-15,2024-10-16,2,2
switch_buffer_1.06,1.06,518880.SH,2024-10-17,2024-11-07,16,22
switch_buffer_1.06,1.06,159915.SZ,2024-11-08,2024-11-19,8,12
switch_buffer_1.06,1.06,159941.SZ,2024-11-20,2024-12-04,11,15
switch_buffer_1.06,1.06,513520.SH,2024-12-05,2024-12-06,2,2
switch_buffer_1.06,1.06,513030.SH,2024-12-09,2024-12-13,5,5
switch_buffer_1.06,1.06,159941.SZ,2024-12-16,2025-01-07,16,23
switch_buffer_1.06,1.06,513520.SH,2025-01-08,2025-01-13,4,6
switch_buffer_1.06,1.06,513030.SH,2025-01-14,2025-01-20,5,7
switch_buffer_1.06,1.06,159985.SZ,2025-01-21,2025-02-10,9,21
switch_buffer_1.06,1.06,513030.SH,2025-02-11,2025-02-12,2,2
switch_buffer_1.06,1.06,518880.SH,2025-02-13,2025-02-20,6,8
switch_buffer_1.06,1.06,159915.SZ,2025-02-21,2025-03-04,8,12
switch_buffer_1.06,1.06,159985.SZ,2025-03-05,2025-03-06,2,2
